id,project,bug_id,score,gate_threshold,needs_augmentation,augmentation_hints
Chart-1,Chart,1,5.692585292640621,-0.02153260078811743,False,
Chart-11,Chart,11,5.749687277349449,-0.02153260078811743,False,
Chart-12,Chart,12,5.661597753142975,-0.02153260078811743,False,
Chart-16,Chart,16,6.341388882837791,-0.02153260078811743,False,
Chart-17,Chart,17,4.740546856863602,-0.02153260078811743,False,
Chart-2,Chart,2,-3.8605366960458745,-0.02153260078811743,True,"technical_completeness: LOW technical completeness — infer missing structural elements (e.g. reproduction steps, environment context).; clarity: LOW clarity — restate the core failure in unambiguous terms, distinguishing symptom from cause.; actionability: LOW actionability — add concrete reproduction context or trigger conditions implied by the description.; expected_observed_alignment: MISSING expected-vs-observed contrast — explicitly state what the system should have done vs. what it did.; ambiguity_type_count: HIGH ambiguity — identify and resolve the dominant ambiguity type (missing steps, vague inputs, unclear error).; reasoning_composite: LOW causal reasoning quality — supplement with an explicit cause-effect chain derived from the observed behavior.; repair_difficulty: HIGH repair difficulty — generate an inferred fault hypothesis and likely impacted code concepts to guide retrieval."
Chart-5,Chart,5,5.394481796149607,-0.02153260078811743,False,
Chart-9,Chart,9,5.1389426253237405,-0.02153260078811743,False,
Cli-1,Cli,1,4.403995449159202,-0.02153260078811743,False,
Cli-10,Cli,10,5.114637690859531,-0.02153260078811743,False,
Cli-11,Cli,11,5.484652797709938,-0.02153260078811743,False,
Cli-12,Cli,12,5.180647707658907,-0.02153260078811743,False,
Cli-13,Cli,13,3.5679953362156382,-0.02153260078811743,False,
Cli-14,Cli,14,3.387482573287678,-0.02153260078811743,False,
Cli-15,Cli,15,5.60865801188562,-0.02153260078811743,False,
Cli-16,Cli,16,7.086223447364825,-0.02153260078811743,False,
Cli-17,Cli,17,6.013613499384588,-0.02153260078811743,False,
Cli-18,Cli,18,5.164240701093509,-0.02153260078811743,False,
Cli-19,Cli,19,5.164240701093509,-0.02153260078811743,False,
Cli-2,Cli,2,5.222881727749225,-0.02153260078811743,False,
Cli-20,Cli,20,5.290197910194538,-0.02153260078811743,False,
Cli-21,Cli,21,4.826105746838627,-0.02153260078811743,False,
Cli-22,Cli,22,4.884259965966566,-0.02153260078811743,False,
Cli-23,Cli,23,5.532761621987802,-0.02153260078811743,False,
Cli-24,Cli,24,5.532761621987802,-0.02153260078811743,False,
Cli-25,Cli,25,5.714748006546242,-0.02153260078811743,False,
Cli-26,Cli,26,4.6083808362712135,-0.02153260078811743,False,
Cli-27,Cli,27,4.682733809476196,-0.02153260078811743,False,
Cli-28,Cli,28,5.978113594747786,-0.02153260078811743,False,
Cli-29,Cli,29,7.895895065223892,-0.02153260078811743,False,
Cli-3,Cli,3,4.884259965966566,-0.02153260078811743,False,
Cli-30,Cli,30,5.521787420059521,-0.02153260078811743,False,
Cli-31,Cli,31,3.8066481706738657,-0.02153260078811743,False,
Cli-32,Cli,32,4.205702080031985,-0.02153260078811743,False,
Cli-33,Cli,33,5.44284711865119,-0.02153260078811743,False,
Cli-34,Cli,34,4.645585645131176,-0.02153260078811743,False,
Cli-35,Cli,35,5.163442223524623,-0.02153260078811743,False,
Cli-36,Cli,36,6.4157371460066095,-0.02153260078811743,False,
Cli-37,Cli,37,5.18668296232194,-0.02153260078811743,False,
Cli-38,Cli,38,2.359165968104835,-0.02153260078811743,False,
Cli-39,Cli,39,5.082379982241377,-0.02153260078811743,False,
Cli-4,Cli,4,4.884259965966566,-0.02153260078811743,False,
Cli-40,Cli,40,7.197662368214381,-0.02153260078811743,False,
Cli-5,Cli,5,4.610592693042846,-0.02153260078811743,False,
Cli-7,Cli,7,3.3434399424814187,-0.02153260078811743,False,
Cli-8,Cli,8,7.06670985891553,-0.02153260078811743,False,
Cli-9,Cli,9,6.259142162510955,-0.02153260078811743,False,
